,pIC50
380,4.107348974607729
381,2.0
382,2.0
383,2.0
384,2.6020599913279625
385,4.107348974607729
386,2.0
387,2.0
388,2.3010299956639813
389,4.107348974607729
390,2.0
391,2.0
392,2.0
393,3.2041199826559246
394,2.0
395,2.0
396,2.0
397,2.0
398,4.107348974607729
399,2.9030899869919438
400,2.0
401,2.0
402,2.9030899869919438
403,2.0
404,3.2041199826559246
405,2.6020599913279625
406,2.0
407,2.0
408,2.3010299956639813
409,1.0217473190392257
410,1.0217473190392257
411,1.1959575660044275
412,1.0570000809129758
413,1.0006008106456539
414,1.0342021737196294
415,1.079044376481599
416,1.0603601867869243
417,2.8847693168234825
418,1.1036637068109063
419,1.1336676208854253
420,1.0509316999552742
421,1.0204713445320388
422,1.069380151907581
423,1.0138493104477728
424,1.0824083395926745
425,1.2676798197149186
426,1.1575124869293785
427,2.0
428,2.0
429,2.0
430,2.0
431,2.0
432,2.0
433,2.0
434,2.0
435,2.0
436,3.2041199826559246
437,2.0
438,2.0
439,2.0
440,2.0
441,2.0
442,2.0
443,2.0
444,2.0
445,2.0
446,2.0
447,2.0
448,2.0
449,2.0
450,2.0
451,2.0
452,2.0
453,2.0
454,2.0
455,2.0
456,2.0
457,2.0
458,2.0
459,2.3010299956639813
460,2.0
461,3.8060410135012126
462,2.0
463,2.0
464,2.0
465,2.0
466,2.0
467,2.0
468,2.6020599913279625
469,2.0
470,2.9030899869919438
471,2.0
472,2.9030899869919438
473,2.0
474,2.9030899869919438
475,2.0
476,2.0
477,2.0
478,2.0
479,2.0
480,2.0
481,2.0
482,2.0
483,3.2041199826559246
484,2.0
485,2.0
486,2.0
487,2.0
488,2.0
489,2.0
490,2.0
491,4.107348974607729
492,0.9152299495754351
493,1.1080520826395133
494,0.9267105275536871
495,3.4175208495672087
496,0.9908949661459597
497,1.1783545400377347
498,1.7476904361007184
499,3.2175186863827907
500,1.1237128404772483
501,1.1388817003514997
502,1.044355989081192
503,2.0318677654531605
504,1.3678402712898146
505,1.0762876409114843
506,1.6989700043360187
507,1.6989700043360187
508,1.6989700043360187
509,1.6989700043360187
510,1.6989700043360187
511,1.6989700043360187
512,1.6989700043360187
513,1.6989700043360187
514,1.6989700043360187
515,1.6989700043360187
516,1.6989700043360187
517,1.6989700043360187
518,1.6989700043360187
519,1.6989700043360187
520,1.6989700043360187
521,1.6989700043360187
522,1.6989700043360187
523,1.6989700043360187
524,1.6989700043360187
525,1.6989700043360187
526,1.6989700043360187
527,1.6989700043360187
528,2.6020599913279625
529,1.6989700043360187
530,1.6989700043360187
531,1.6989700043360187
532,1.6989700043360187
533,2.0
534,1.6989700043360187
535,1.6989700043360187
536,1.6989700043360187
537,1.6989700043360187
538,1.6989700043360187
539,1.6989700043360187
540,1.6989700043360187
541,1.6989700043360187
542,1.6989700043360187
543,1.6989700043360187
544,1.6989700043360187
545,1.6989700043360187
546,1.6989700043360187
547,1.6989700043360187
548,1.6989700043360187
549,1.6989700043360187
550,1.6989700043360187
551,1.6989700043360187
552,3.806318978943748
553,1.6989700043360187
554,1.6989700043360187
555,1.6989700043360187
556,1.6989700043360187
557,1.6989700043360187
558,1.6989700043360187
559,1.6989700043360187
560,1.6989700043360187
561,1.6989700043360187
562,1.6989700043360187
563,1.6989700043360187
564,1.6989700043360187
565,1.6989700043360187
566,1.6989700043360187
567,1.6989700043360187
568,1.6989700043360187
569,1.6989700043360187
570,1.6989700043360187
571,1.6989700043360187
572,1.6989700043360187
573,1.6989700043360187
574,1.6989700043360187
575,1.6989700043360187
576,1.6989700043360187
577,1.6989700043360187
578,1.6989700043360187
579,1.6989700043360187
580,1.6989700043360187
581,1.6989700043360187
582,1.6989700043360187
583,2.3010299956639813
584,1.6989700043360187
585,1.6989700043360187
586,1.6989700043360187
587,1.6989700043360187
588,1.6989700043360187
589,1.6989700043360187
590,2.0
591,1.6989700043360187
592,2.9030899869919438
593,1.6989700043360187
594,1.6989700043360187
595,1.6989700043360187
596,1.6989700043360187
597,3.2041199826559246
598,2.9030899869919438
599,1.6989700043360187
600,3.505149978319906
601,1.6989700043360187
602,1.6989700043360187
603,1.6989700043360187
604,1.6989700043360187
605,1.6989700043360187
606,2.0
607,1.6989700043360187
608,1.6989700043360187
609,1.6989700043360187
610,3.2041199826559246
611,2.0
612,1.6989700043360187
613,1.6989700043360187
614,1.6989700043360187
615,1.6989700043360187
616,1.6989700043360187
617,1.6989700043360187
618,1.6989700043360187
619,1.6989700043360187
620,1.6989700043360187
621,3.2041199826559246
622,1.6989700043360187
623,1.6989700043360187
624,1.6989700043360187
625,1.6989700043360187
626,1.6989700043360187
627,1.6989700043360187
628,1.6989700043360187
629,1.6989700043360187
630,1.6989700043360187
631,1.6989700043360187
632,1.6989700043360187
633,1.6989700043360187
634,1.6989700043360187
635,1.6989700043360187
636,1.6989700043360187
637,1.6989700043360187
638,1.6989700043360187
639,2.3010299956639813
640,1.6989700043360187
641,1.6989700043360187
642,1.6989700043360187
643,1.6989700043360187
644,1.6989700043360187
645,1.6989700043360187
646,1.6989700043360187
647,1.6989700043360187
648,1.6989700043360187
649,1.6989700043360187
650,1.6989700043360187
651,1.6989700043360187
652,1.6989700043360187
653,1.6989700043360187
654,1.6989700043360187
655,1.6989700043360187
656,1.6989700043360187
657,1.6989700043360187
658,2.9030899869919438
659,1.6989700043360187
660,1.6989700043360187
661,1.6989700043360187
662,1.6989700043360187
663,1.6989700043360187
664,1.6989700043360187
665,1.6989700043360187
666,3.505149978319906
667,1.6989700043360187
668,1.6989700043360187
669,1.6989700043360187
670,1.6989700043360187
671,1.6989700043360187
672,1.6989700043360187
673,2.0
674,1.6989700043360187
675,1.6989700043360187
676,1.6989700043360187
677,1.6989700043360187
678,1.6989700043360187
679,1.6989700043360187
680,1.6989700043360187
681,1.6989700043360187
682,1.6989700043360187
683,2.6020599913279625
684,2.9030899869919438
685,1.6989700043360187
686,1.6989700043360187
687,1.6989700043360187
688,1.6989700043360187
689,1.6989700043360187
690,1.6989700043360187
691,1.6989700043360187
692,3.505149978319906
693,1.6989700043360187
694,1.6989700043360187
695,1.6989700043360187
696,1.6989700043360187
697,1.6989700043360187
698,2.9030899869919438
699,3.806318978943748
700,1.6989700043360187
701,1.6989700043360187
702,1.6989700043360187
703,1.6989700043360187
704,1.6989700043360187
705,1.6989700043360187
706,3.806318978943748
707,1.6989700043360187
708,1.6989700043360187
709,3.505149978319906
710,1.6989700043360187
711,1.6989700043360187
712,1.6989700043360187
713,2.3010299956639813
714,1.6989700043360187
715,1.6989700043360187
716,1.6989700043360187
717,1.6989700043360187
718,1.6989700043360187
719,1.6989700043360187
720,1.6989700043360187
721,1.6989700043360187
722,1.6989700043360187
723,1.6989700043360187
724,3.806318978943748
725,1.6989700043360187
726,1.6989700043360187
727,1.6989700043360187
728,1.6989700043360187
729,1.6989700043360187
730,1.6989700043360187
731,1.6989700043360187
732,1.6989700043360187
733,1.6989700043360187
734,1.6989700043360187
735,1.6989700043360187
736,1.6989700043360187
737,1.6989700043360187
738,1.6989700043360187
739,1.6989700043360187
740,1.6989700043360187
741,1.6989700043360187
742,1.6989700043360187
743,1.6989700043360187
744,1.6989700043360187
745,1.6989700043360187
746,1.6989700043360187
747,1.6989700043360187
748,1.6989700043360187
749,1.6989700043360187
750,1.6989700043360187
751,2.3010299956639813
752,2.0
753,1.6989700043360187
754,1.6989700043360187
755,1.6989700043360187
756,1.6989700043360187
757,1.6989700043360187
758,1.6989700043360187
759,1.6989700043360187
760,2.6020599913279625
761,1.6989700043360187
762,1.6989700043360187
763,1.6989700043360187
764,1.6989700043360187
765,1.6989700043360187
766,1.6989700043360187
767,1.6989700043360187
768,3.505149978319906
769,1.6989700043360187
770,1.6989700043360187
771,1.6989700043360187
772,3.806318978943748
773,1.6989700043360187
774,1.6989700043360187
775,1.6989700043360187
776,1.6989700043360187
777,1.6989700043360187
778,1.6989700043360187
779,1.6989700043360187
780,1.6989700043360187
781,1.6989700043360187
782,1.6989700043360187
783,1.6989700043360187
784,1.6989700043360187
785,1.6989700043360187
786,1.6989700043360187
787,1.6989700043360187
788,1.6989700043360187
789,1.6989700043360187
790,1.6989700043360187
791,1.6989700043360187
792,1.6989700043360187
793,1.6989700043360187
794,1.6989700043360187
795,1.6989700043360187
796,1.6989700043360187
797,1.6989700043360187
798,1.6989700043360187
799,1.6989700043360187
800,1.6989700043360187
801,1.6989700043360187
802,1.6989700043360187
803,1.6989700043360187
804,1.6989700043360187
805,1.6989700043360187
806,1.6989700043360187
807,1.6989700043360187
808,1.6989700043360187
809,1.6989700043360187
810,1.6989700043360187
811,1.6989700043360187
812,1.6989700043360187
813,1.6989700043360187
814,1.6989700043360187
815,1.6989700043360187
816,1.6989700043360187
817,1.6989700043360187
818,1.6989700043360187
819,1.6989700043360187
820,1.6989700043360187
821,1.6989700043360187
822,1.6989700043360187
823,1.6989700043360187
824,1.6989700043360187
825,1.6989700043360187
826,1.6989700043360187
827,1.6989700043360187
828,1.6989700043360187
829,1.6989700043360187
830,1.6989700043360187
831,1.6989700043360187
832,1.6989700043360187
833,1.6989700043360187
834,1.6989700043360187
835,1.6989700043360187
836,1.6989700043360187
837,1.6989700043360187
838,1.6989700043360187
839,1.6989700043360187
840,1.6989700043360187
841,1.6989700043360187
842,1.6989700043360187
843,1.6989700043360187
844,1.6989700043360187
845,1.6989700043360187
846,1.6989700043360187
847,1.6989700043360187
848,1.6989700043360187
849,1.6989700043360187
850,1.6989700043360187
851,1.6989700043360187
852,1.6989700043360187
853,1.6989700043360187
854,1.6989700043360187
855,1.6989700043360187
856,1.6989700043360187
857,1.6989700043360187
858,1.6989700043360187
859,1.6989700043360187
860,1.6989700043360187
861,1.6989700043360187
862,1.6989700043360187
863,1.6989700043360187
864,1.6989700043360187
865,1.6989700043360187
866,1.6989700043360187
867,1.6989700043360187
868,1.6989700043360187
869,1.6989700043360187
870,1.6989700043360187
871,2.6020599913279625
872,1.6989700043360187
